,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment
265,3E,10739.0,ORD,3830.0,BRL,5726.0,,0,CNC
266,3E,10739.0,ORD,3830.0,DEC,4042.0,,0,CNC
443,3M,20710.0,ATL,3682.0,LWB,6958.0,,0,SF3
444,3M,20710.0,ATL,3682.0,MCN,3754.0,,0,SF3
445,3M,20710.0,ATL,3682.0,MEI,4335.0,,0,SF3
446,3M,20710.0,ATL,3682.0,MSL,5756.0,,0,SF3
447,3M,20710.0,ATL,3682.0,PIB,5759.0,,0,SF3
448,3M,20710.0,ATL,3682.0,TUP,5773.0,,0,SF3
455,3M,20710.0,FLL,3533.0,BIM,1937.0,,0,SF3
456,3M,20710.0,FLL,3533.0,ELH,1943.0,,0,SF3
457,3M,20710.0,FLL,3533.0,EYW,3875.0,,0,SF3
458,3M,20710.0,FLL,3533.0,FPO,1948.0,,0,SF3
459,3M,20710.0,FLL,3533.0,GGT,1941.0,,0,SF3
460,3M,20710.0,FLL,3533.0,GHB,1944.0,,0,SF3
461,3M,20710.0,FLL,3533.0,MCO,3878.0,,0,SF3
462,3M,20710.0,FLL,3533.0,MHH,1930.0,,0,SF3
463,3M,20710.0,FLL,3533.0,TCB,1934.0,,0,SF3
464,3M,20710.0,FLL,3533.0,TPA,3646.0,,0,SF3
1059,4M,3201.0,DFW,3670.0,EZE,3988.0,Y,0,777
2781,7I,18944.0,CLT,3876.0,CUR,2897.0,,0,M83
3559,9E,3976.0,ATL,3682.0,AZO,4039.0,,0,CRJ
3560,9E,3976.0,ATL,3682.0,CHA,3578.0,,0,CRJ
3561,9E,3976.0,ATL,3682.0,CID,4043.0,,0,CRJ
3562,9E,3976.0,ATL,3682.0,CRW,4285.0,,0,CRJ
3563,9E,3976.0,ATL,3682.0,CVG,3488.0,,0,CR9 
3564,9E,3976.0,ATL,3682.0,EVV,4018.0,,0,CRJ
3565,9E,3976.0,ATL,3682.0,FWA,4041.0,,0,CRJ
3566,9E,3976.0,ATL,3682.0,GSO,4008.0,,0,CR9
3567,9E,3976.0,ATL,3682.0,GSP,4034.0,,0,CRJ
3568,9E,3976.0,ATL,3682.0,LAN,3544.0,,0,CRJ
3569,9E,3976.0,ATL,3682.0,LEX,4017.0,,0,CRJ
3570,9E,3976.0,ATL,3682.0,MBS,4128.0,,0,CRJ
3571,9E,3976.0,ATL,3682.0,MSP,3858.0,,0,
3572,9E,3976.0,ATL,3682.0,ROA,4016.0,,0,CRJ
3573,9E,3976.0,ATL,3682.0,SYR,3745.0,,0,CR9
3574,9E,3976.0,ATL,3682.0,TYS,3676.0,,0,CRJ CR9
3575,9E,3976.0,ATL,3682.0,XNA,4356.0,,0,CRJ
3580,9E,3976.0,DTW,3645.0,MSY,3861.0,,0,CR9
3589,9E,3976.0,LGA,3697.0,MSY,3861.0,,0,CR9
3593,9E,3976.0,MSP,3858.0,ATL,3682.0,,0,
3594,9E,3976.0,MSP,3858.0,MSY,3861.0,,0,CR9
4698,AA,24.0,ATL,3682.0,CLT,3876.0,Y,0,319 320 CR9 321
4699,AA,24.0,ATL,3682.0,DFW,3670.0,,0,M80 319 M83
4700,AA,24.0,ATL,3682.0,LHR,507.0,Y,0,777
4701,AA,24.0,ATL,3682.0,MIA,3576.0,,0,738
4702,AA,24.0,ATL,3682.0,ORD,3830.0,Y,0,CR7 E75
4703,AA,24.0,ATL,3682.0,PHL,3752.0,Y,0,E75 E90 319 CRJ E70
4704,AA,24.0,ATL,3682.0,PHX,3462.0,Y,0,320 321
4889,AA,24.0,CLT,3876.0,ABE,4355.0,Y,0,CR7 CRJ CR9
4890,AA,24.0,CLT,3876.0,AGS,3658.0,,0,DH8
4891,AA,24.0,CLT,3876.0,ALB,3864.0,,0,319
4892,AA,24.0,CLT,3876.0,ANU,2874.0,,0,319
4893,AA,24.0,CLT,3876.0,ATL,3682.0,Y,0,320 CR9 321 319
4894,AA,24.0,CLT,3876.0,AUA,2895.0,,0,757 319 320
4895,AA,24.0,CLT,3876.0,AUS,3673.0,,0,CR9
