source,source_id,layover,layover_id,dest,dest_id
LEX,4017,ORD,3830,BRL,5726
LEX,4017,ORD,3830,DEC,4042
LEX,4017,ATL,3682,LWB,6958
LEX,4017,ATL,3682,MCN,3754
LEX,4017,ATL,3682,MEI,4335
LEX,4017,ATL,3682,MSL,5756
LEX,4017,ATL,3682,PIB,5759
LEX,4017,ATL,3682,TUP,5773
LEX,4017,FLL,3533,BIM,1937
LEX,4017,FLL,3533,ELH,1943
LEX,4017,FLL,3533,EYW,3875
LEX,4017,FLL,3533,FPO,1948
LEX,4017,FLL,3533,GGT,1941
LEX,4017,FLL,3533,GHB,1944
LEX,4017,FLL,3533,MCO,3878
LEX,4017,FLL,3533,MHH,1930
LEX,4017,FLL,3533,TCB,1934
LEX,4017,FLL,3533,TPA,3646
LEX,4017,DFW,3670,EZE,3988
LEX,4017,CLT,3876,CUR,2897
LEX,4017,ATL,3682,AZO,4039
LEX,4017,ATL,3682,CHA,3578
LEX,4017,ATL,3682,CID,4043
LEX,4017,ATL,3682,CRW,4285
LEX,4017,ATL,3682,CVG,3488
LEX,4017,ATL,3682,EVV,4018
LEX,4017,ATL,3682,FWA,4041
LEX,4017,ATL,3682,GSO,4008
LEX,4017,ATL,3682,GSP,4034
LEX,4017,ATL,3682,LAN,3544
LEX,4017,ATL,3682,LEX,4017
LEX,4017,ATL,3682,MBS,4128
LEX,4017,ATL,3682,MSP,3858
LEX,4017,ATL,3682,ROA,4016
LEX,4017,ATL,3682,SYR,3745
LEX,4017,ATL,3682,TYS,3676
LEX,4017,ATL,3682,XNA,4356
LEX,4017,DTW,3645,MSY,3861
LEX,4017,LGA,3697,MSY,3861
LEX,4017,MSP,3858,ATL,3682
LEX,4017,MSP,3858,MSY,3861
LEX,4017,ATL,3682,CLT,3876
LEX,4017,ATL,3682,DFW,3670
LEX,4017,ATL,3682,LHR,507
LEX,4017,ATL,3682,MIA,3576
LEX,4017,ATL,3682,ORD,3830
LEX,4017,ATL,3682,PHL,3752
LEX,4017,ATL,3682,PHX,3462
LEX,4017,CLT,3876,ABE,4355
LEX,4017,CLT,3876,AGS,3658
LEX,4017,CLT,3876,ALB,3864
LEX,4017,CLT,3876,ANU,2874
LEX,4017,CLT,3876,ATL,3682
LEX,4017,CLT,3876,AUA,2895
LEX,4017,CLT,3876,AUS,3673
LEX,4017,CLT,3876,AVL,4007
LEX,4017,CLT,3876,AVP,4286
LEX,4017,CLT,3876,BDL,3825
LEX,4017,CLT,3876,BHM,3811
LEX,4017,CLT,3876,BNA,3690
LEX,4017,CLT,3876,BOS,3448
LEX,4017,CLT,3876,BTR,3846
LEX,4017,CLT,3876,BUF,3820
LEX,4017,CLT,3876,BWI,3849
LEX,4017,CLT,3876,BZE,1957
LEX,4017,CLT,3876,CAE,3561
LEX,4017,CLT,3876,CAK,4112
LEX,4017,CLT,3876,CDG,1382
LEX,4017,CLT,3876,CHA,3578
LEX,4017,CLT,3876,CHO,4015
LEX,4017,CLT,3876,CHS,3806
LEX,4017,CLT,3876,CLE,3486
LEX,4017,CLT,3876,CMH,3759
LEX,4017,CLT,3876,CRW,4285
LEX,4017,CLT,3876,CUN,1852
LEX,4017,CLT,3876,CVG,3488
LEX,4017,CLT,3876,CZM,1800
LEX,4017,CLT,3876,DAB,3950
LEX,4017,CLT,3876,DAY,3627
LEX,4017,CLT,3876,DCA,3520
LEX,4017,CLT,3876,DEN,3751
LEX,4017,CLT,3876,DFW,3670
LEX,4017,CLT,3876,DSM,3729
LEX,4017,CLT,3876,DTW,3645
LEX,4017,CLT,3876,DUB,599
LEX,4017,CLT,3876,EWN,3730
LEX,4017,CLT,3876,EWR,3494
LEX,4017,CLT,3876,FAY,5738
LEX,4017,CLT,3876,FCO,1555
LEX,4017,CLT,3876,FLL,3533
LEX,4017,CLT,3876,FLO,3879
LEX,4017,CLT,3876,FPO,1948
LEX,4017,CLT,3876,FRA,340
LEX,4017,CLT,3876,GCM,1926
LEX,4017,CLT,3876,GNV,3472
LEX,4017,CLT,3876,GPT,4038
LEX,4017,CLT,3876,GRU,2564
LEX,4017,CLT,3876,GSO,4008
LEX,4017,CLT,3876,GSP,4034
LEX,4017,CLT,3876,HHH,8314
LEX,4017,CLT,3876,HPN,3589
LEX,4017,CLT,3876,HSV,4113
LEX,4017,CLT,3876,HTS,5742
LEX,4017,CLT,3876,IAD,3714
LEX,4017,CLT,3876,IAH,3550
LEX,4017,CLT,3876,ILM,3845
LEX,4017,CLT,3876,IND,3585
LEX,4017,CLT,3876,JAN,3580
LEX,4017,CLT,3876,JAX,3712
LEX,4017,CLT,3876,JFK,3797
LEX,4017,CLT,3876,LAS,3877
LEX,4017,CLT,3876,LAX,3484
LEX,4017,CLT,3876,LEX,4017
LEX,4017,CLT,3876,LGA,3697
LEX,4017,CLT,3876,LHR,507
LEX,4017,CLT,3876,LIR,1881
LEX,4017,CLT,3876,LIT,3660
LEX,4017,CLT,3876,LYH,5753
LEX,4017,CLT,3876,MBJ,1780
LEX,4017,CLT,3876,MCI,3458
LEX,4017,CLT,3876,MCO,3878
LEX,4017,CLT,3876,MDT,3542
LEX,4017,CLT,3876,MEM,3473
LEX,4017,CLT,3876,MEX,1824
LEX,4017,CLT,3876,MGM,4115
LEX,4017,CLT,3876,MHT,4011
LEX,4017,CLT,3876,MIA,3576
LEX,4017,CLT,3876,MKE,3717
LEX,4017,CLT,3876,MLB,3671
LEX,4017,CLT,3876,MOB,3782
LEX,4017,CLT,3876,MSP,3858
LEX,4017,CLT,3876,MSY,3861
LEX,4017,CLT,3876,MYR,3515
LEX,4017,CLT,3876,NAS,1953
LEX,4017,CLT,3876,OAJ,4386
LEX,4017,CLT,3876,OMA,3454
LEX,4017,CLT,3876,ORD,3830
LEX,4017,CLT,3876,ORF,3611
LEX,4017,CLT,3876,PBI,3722
LEX,4017,CLT,3876,PDX,3720
LEX,4017,CLT,3876,PGV,6959
LEX,4017,CLT,3876,PHF,3633
LEX,4017,CLT,3876,PHL,3752
LEX,4017,CLT,3876,PHX,3462
LEX,4017,CLT,3876,PIT,3570
LEX,4017,CLT,3876,PLS,1754
LEX,4017,CLT,3876,PNS,3564
LEX,4017,CLT,3876,PUJ,1760
LEX,4017,CLT,3876,PVD,3641
LEX,4017,CLT,3876,PWM,3862
LEX,4017,CLT,3876,RDU,3626
LEX,4017,CLT,3876,RIC,3608
LEX,4017,CLT,3876,ROA,4016
LEX,4017,CLT,3876,ROC,3622
LEX,4017,CLT,3876,RSW,3793
LEX,4017,CLT,3876,SAN,3731
LEX,4017,CLT,3876,SAT,3621
LEX,4017,CLT,3876,SAV,3613
LEX,4017,CLT,3876,SBY,3642
LEX,4017,CLT,3876,SDF,4014
LEX,4017,CLT,3876,SEA,3577
LEX,4017,CLT,3876,SFO,3469
LEX,4017,CLT,3876,SJD,1840
LEX,4017,CLT,3876,SJO,1885
LEX,4017,CLT,3876,SJU,2890
LEX,4017,CLT,3876,SLC,3536
LEX,4017,CLT,3876,SMF,3817
LEX,4017,CLT,3876,SRQ,4067
LEX,4017,CLT,3876,STL,3678
LEX,4017,CLT,3876,STT,2883
LEX,4017,CLT,3876,SXM,2899
LEX,4017,CLT,3876,SYR,3745
LEX,4017,CLT,3876,TLH,3698
LEX,4017,CLT,3876,TPA,3646
LEX,4017,CLT,3876,TRI,4116
LEX,4017,CLT,3876,TYS,3676
LEX,4017,CLT,3876,UVF,2894
LEX,4017,CLT,3876,VPS,3873
LEX,4017,CLT,3876,XNA,4356
LEX,4017,CLT,3876,YOW,100
LEX,4017,CLT,3876,YUL,146
LEX,4017,CLT,3876,YYZ,193
LEX,4017,DCA,3520,AGS,3658
LEX,4017,DCA,3520,ALB,3864
LEX,4017,DCA,3520,BDL,3825
LEX,4017,DCA,3520,BGR,3463
LEX,4017,DCA,3520,BHM,3811
LEX,4017,DCA,3520,BNA,3690
LEX,4017,DCA,3520,BOS,3448
LEX,4017,DCA,3520,BTV,3711
LEX,4017,DCA,3520,BUF,3820
