,depth,magnitude
0,118.21,4.9
1,10.0,4.1
2,1.85,4.2
3,10.0,4.2
4,535.53,4.5
5,30.32,4.8
6,19.58,4.1
7,10.0,5.1
8,10.0,4.9
9,220.47,5.1
10,10.0,6.0
11,107.05,5.4
12,25.53,4.4
13,41.5,3.6
14,10.01,5.0
15,126.32,5.1
16,52.27,4.4
17,58.3,4.7
18,6.0,5.8
19,59.51,4.3
20,2.85,2.8
21,10.0,4.9
22,10.0,4.9
23,40.7,3.8
24,22.58,5.4
25,18.26,4.1
26,10.0,5.1
27,42.0,3.16
28,13.96,4.9
29,37.7,3.3
30,83.0,3.32
31,35.8,2.9
32,56.96,4.9
33,10.0,4.0
34,10.0,4.4
35,26.0,4.5
36,96.0,2.52
37,72.22,4.5
38,12.9,2.8
39,33.0,2.5
40,21.48,3.2
41,152.4,4.8
42,35.0,5.1
43,33.05,2.9
44,28.51,4.0
45,17.38,4.1
46,100.0,3.48
47,10.0,4.9
48,209.1,3.0
49,4.29,4.5
50,66.0,3.07
51,19.98,4.1
52,111.1,2.5
53,88.4,4.0
54,47.13,4.7
55,10.0,4.9
56,90.2,2.5
57,43.0,2.75
58,149.41,4.1
59,31.0,3.2
60,49.0,2.62
61,62.0,2.89
62,20.23,3.9
63,36.38,4.7
64,-0.42,3.11
65,100.46,4.4
66,9.91,4.6
67,10.0,4.4
68,12.2,2.7
69,192.8,4.7
70,10.0,4.9
71,10.0,4.7
72,0.1,3.5
73,33.19,4.8
74,46.58,4.5
75,-6.9,3.8
76,102.0,2.56
77,24.16,4.5
78,5.26,2.75
79,133.74,4.2
80,10.0,3.8
81,10.0,4.2
82,29.0,3.22
83,140.94,4.3
84,5.62,4.0
85,10.0,4.5
86,-0.94,2.46
87,4.95,2.65
88,0.3,2.7
89,10.0,4.8
90,5.35,3.9
91,42.0,3.07
92,10.0,4.7
93,60.8,3.1
94,100.2,3.7
95,10.0,3.9
96,34.8,3.0
97,75.0,2.96
98,3.58,4.9
99,66.44,4.5
100,10.0,5.1
101,5.98,2.51
102,15.91,4.1
103,132.0,2.69
104,128.0,2.73
105,10.0,4.8
106,86.62,4.8
107,73.2,2.5
108,7.39,3.5
109,97.97,5.1
110,41.91,5.1
111,26.58,5.2
112,30.43,4.1
113,181.3,3.1
114,37.5,4.5
115,10.63,3.9
116,39.97,2.9
117,10.0,4.5
118,10.0,4.4
119,36.85,4.6
120,10.0,5.1
121,2.5,2.52
122,92.25,4.9
123,20.0,3.6
124,9.09,3.06
125,102.76,4.5
126,381.38,4.6
127,30.14,4.6
128,38.4,4.7
129,47.0,2.92
130,103.8,4.4
131,22.72,3.3
132,10.0,4.6
133,12.0,3.3
134,129.57,4.7
135,121.3,4.5
136,10.0,5.1
137,13.0,3.0
138,2.67,2.5
139,34.8,3.3
140,2.69,2.9
141,267.59,4.2
142,54.0,3.05
143,526.27,5.4
144,39.0,3.77
145,44.06,5.0
146,10.0,4.9
147,28.69,5.6
148,136.76,5.9
149,10.0,5.0
150,4.13,3.8
151,10.0,4.3
152,184.89,4.2
153,10.0,4.1
154,87.7,2.5
155,5.0,3.1
156,220.51,4.5
157,10.0,4.2
158,64.38,4.2
159,38.0,3.3
160,10.0,4.9
161,38.24,4.6
162,5.82,4.6
163,88.0,3.41
164,8.8,4.1
165,63.0,3.36
166,96.0,3.55
167,20.64,5.2
168,96.66,4.5
169,5.01,3.39
170,36.02,4.9
171,0.0,2.8
172,10.0,4.6
173,75.0,3.43
174,117.5,2.7
175,73.73,4.6
176,3.58,2.83
177,41.32,4.4
178,6.52,3.3
179,2.9,3.5
180,16.3,3.0
181,10.0,4.5
182,71.02,5.2
183,6.44,2.53
184,51.0,2.7
185,15.14,2.98
186,69.89,5.1
187,10.0,4.6
188,10.0,4.5
189,69.55,3.6
190,199.12,4.3
191,216.83,4.2
192,21.15,4.7
193,213.08,4.5
194,3.5,2.5
195,29.78,4.6
196,10.2,2.7
197,213.16,4.3
198,10.0,4.2
199,77.93,4.1
200,22.94,4.5
201,16.53,5.1
202,35.0,4.9
203,37.68,4.5
204,9.88,2.55
205,11.64,2.77
206,10.52,2.73
207,10.0,4.8
208,10.0,4.2
209,8.42,2.97
210,11.44,3.64
211,10.0,3.2
212,10.0,5.0
213,10.0,4.3
214,10.0,4.3
215,10.0,4.4
216,10.0,4.3
217,10.0,4.4
218,10.0,4.8
219,16.47,4.0
220,110.5,2.5
221,10.0,4.3
222,10.0,4.6
223,25.6,2.7
224,7.93,3.9
225,32.4,2.5
226,166.18,4.7
227,12.66,2.9
